submission_id,RT,actualLife,age,comments,education,endTime,experiment_id,gender,intent,languages,option1,option2,outcome,perceivedLife,question,rating_slider,rating_slider_actual,rating_slider_perceived,startDate,startTime,timeSpent,trial_number,trial_type
221,175175,Looking at the actual life: ,19,"it took me the first two stories to find out what you were gaming at, I'm interested in the results:)",graduated_high_school,1543487795175,12,female,devil,german,Completely Disagree,Completely Agree,Good,Looking at the perceived life: ,Noscorr was happy.,100,73,72,Thu Nov 29 2018 10:47:40 GMT+0100 (Mitteleuropäische Normalzeit),1543484860401,48.9129,1,mainSliderRating
221,106689,Looking at the actual life: ,19,"it took me the first two stories to find out what you were gaming at, I'm interested in the results:)",graduated_high_school,1543487795175,12,female,angel,german,Completely Disagree,Completely Agree,Good,Looking at the perceived life: ,Merrhi was happy.,100,81,83,Thu Nov 29 2018 10:47:40 GMT+0100 (Mitteleuropäische Normalzeit),1543484860401,48.9129,2,mainSliderRating
221,90286,Looking at the actual life: ,19,"it took me the first two stories to find out what you were gaming at, I'm interested in the results:)",graduated_high_school,1543487795175,12,female,devil,german,Completely Disagree,Completely Agree,Bad,Looking at the perceived life: ,Khamma was happy.,100,13,100,Thu Nov 29 2018 10:47:40 GMT+0100 (Mitteleuropäische Normalzeit),1543484860401,48.9129,3,mainSliderRating
221,84548,Looking at the actual life: ,19,"it took me the first two stories to find out what you were gaming at, I'm interested in the results:)",graduated_high_school,1543487795175,12,female,angel,german,Completely Disagree,Completely Agree,Bad,Looking at the perceived life: ,Cyp was happy.,100,57,71,Thu Nov 29 2018 10:47:40 GMT+0100 (Mitteleuropäische Normalzeit),1543484860401,48.9129,4,mainSliderRating
220,440807,Looking at the actual life: ,23,"probably the point could have been at the same level in all 4 scenarios. There was just my interpretation of what ought to be a happy life and what not. I realized, which thoughts I have made up- that. e.g. working for others is judged better- makes people happier, than wanting to be pittied by others and fighting for this. \nEvery alien was ascribed the feature that they are happy about there life. why do I have to judge it further?",graduated_high_school,1543418181420,12,female,devil,german,Completely Disagree,Completely Agree,Bad,Looking at the perceived life: ,Khamma was happy.,18,29,60,Wed Nov 28 2018 15:43:06 GMT+0100 (Mitteleuropäische Normalzeit),1543416186387,33.25055,1,mainSliderRating
220,179159,Looking at the actual life: ,23,"probably the point could have been at the same level in all 4 scenarios. There was just my interpretation of what ought to be a happy life and what not. I realized, which thoughts I have made up- that. e.g. working for others is judged better- makes people happier, than wanting to be pittied by others and fighting for this. \nEvery alien was ascribed the feature that they are happy about there life. why do I have to judge it further?",graduated_high_school,1543418181420,12,female,angel,german,Completely Disagree,Completely Agree,Good,Looking at the perceived life: ,Merrhi was happy.,58,38,64,Wed Nov 28 2018 15:43:06 GMT+0100 (Mitteleuropäische Normalzeit),1543416186387,33.25055,2,mainSliderRating
220,992778,Looking at the actual life: ,23,"probably the point could have been at the same level in all 4 scenarios. There was just my interpretation of what ought to be a happy life and what not. I realized, which thoughts I have made up- that. e.g. working for others is judged better- makes people happier, than wanting to be pittied by others and fighting for this. \nEvery alien was ascribed the feature that they are happy about there life. why do I have to judge it further?",graduated_high_school,1543418181420,12,female,angel,german,Completely Disagree,Completely Agree,Bad,Looking at the perceived life: ,Noscorr was happy.,65,59,61,Wed Nov 28 2018 15:43:06 GMT+0100 (Mitteleuropäische Normalzeit),1543416186387,33.25055,3,mainSliderRating
220,130086,Looking at the actual life: ,23,"probably the point could have been at the same level in all 4 scenarios. There was just my interpretation of what ought to be a happy life and what not. I realized, which thoughts I have made up- that. e.g. working for others is judged better- makes people happier, than wanting to be pittied by others and fighting for this. \nEvery alien was ascribed the feature that they are happy about there life. why do I have to judge it further?",graduated_high_school,1543418181420,12,female,devil,german,Completely Disagree,Completely Agree,Good,Looking at the perceived life: ,Cyp was happy.,45,43,37,Wed Nov 28 2018 15:43:06 GMT+0100 (Mitteleuropäische Normalzeit),1543416186387,33.25055,4,mainSliderRating
219,188948,Looking at the actual life: ,23,,higher_degree,1543223033015,12,female,angel,french,Completely Disagree,Completely Agree,Bad,Looking at the perceived life: ,Khamma was happy.,98,86,100,Mon Nov 26 2018 09:56:16 GMT+0100 (heure normale d’Europe centrale),1543222576098,7.615283333333333,1,mainSliderRating
219,91771,Looking at the actual life: ,23,,higher_degree,1543223033015,12,female,devil,french,Completely Disagree,Completely Agree,Bad,Looking at the perceived life: ,Cyp was happy.,87,85,100,Mon Nov 26 2018 09:56:16 GMT+0100 (heure normale d’Europe centrale),1543222576098,7.615283333333333,2,mainSliderRating
